epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
89,103.005,0.56769,0.44673,0.9099,0.97677,1,0.98574,0.80351,0.70812,0.39101,0.97309,0.00021471,0.00021471,0.00021471
90,104.113,0.55635,0.41881,0.89956,0.97827,1,0.98662,0.8122,0.71038,0.39522,0.97552,0.000198206,0.000198206,0.000198206
91,106.195,0.49755,0.44739,0.87585,0.97836,1,0.98397,0.81144,0.72577,0.39642,0.98243,0.000181703,0.000181703,0.000181703
92,107.455,0.50499,0.45354,0.89242,0.97744,1,0.98353,0.81202,0.72717,0.40125,0.98379,0.0001652,0.0001652,0.0001652
93,108.555,0.52978,0.45768,0.91963,0.97656,1,0.98309,0.81878,0.70738,0.39457,0.97385,0.000148696,0.000148696,0.000148696
94,109.627,0.5241,0.46343,0.91688,0.97604,1,0.98309,0.80875,0.70449,0.38977,0.97472,0.000132193,0.000132193,0.000132193
95,110.745,0.51573,0.45293,0.92254,0.97614,1,0.98309,0.82017,0.70057,0.38081,0.978,0.00011569,0.00011569,0.00011569
96,111.843,0.49718,0.4445,0.89355,0.97699,1,0.98309,0.80281,0.72368,0.3818,0.99515,9.91865e-05,9.91865e-05,9.91865e-05
97,112.965,0.50974,0.44436,0.91554,0.97737,1,0.98309,0.79918,0.73071,0.37908,0.99998,8.26832e-05,8.26832e-05,8.26832e-05
98,114.07,0.48456,0.42261,0.87195,0.97832,1,0.98221,0.798,0.72387,0.37431,0.9986,6.61799e-05,6.61799e-05,6.61799e-05
99,115.163,0.52924,0.42852,0.8977,0.97847,1,0.98353,0.80076,0.72581,0.37183,0.99869,4.96766e-05,4.96766e-05,4.96766e-05
100,116.257,0.50041,0.42577,0.89742,0.97852,1,0.98397,0.80608,0.72506,0.37202,0.99839,3.31733e-05,3.31733e-05,3.31733e-05
